od_id,origin_node,destination_node,base_demand_vph,purpose
OD0086,N107,N086,135,commute
OD0087,N081,N106,76,school
OD0088,N076,N068,465,commute
OD0089,N069,N078,278,school
OD0090,N045,N044,412,mixed
OD0091,N011,N039,235,school
OD0092,N109,N052,462,commercial
OD0093,N104,N039,197,commercial
OD0094,N107,N011,234,school
OD0095,N017,N097,332,commercial
OD0096,N112,N019,174,commercial
OD0097,N111,N048,90,commute
OD0098,N021,N093,56,mixed
OD0099,N007,N060,281,mixed
OD0100,N092,N051,412,school
OD0101,N008,N023,283,school
OD0102,N063,N037,57,school
OD0103,N117,N021,130,school
OD0104,N103,N041,83,mixed
OD0105,N107,N078,198,commercial
OD0106,N090,N113,145,school
OD0107,N068,N070,187,school
OD0108,N049,N018,220,commute
OD0109,N002,N104,282,school
OD0110,N060,N039,171,commercial
OD0111,N059,N051,479,commute
OD0112,N012,N105,190,commercial
OD0113,N039,N043,421,commercial
OD0114,N093,N057,385,commercial
OD0115,N075,N006,152,mixed
OD0116,N102,N081,275,school
OD0117,N078,N004,352,school
OD0118,N047,N114,317,school
OD0119,N097,N062,172,mixed
OD0120,N103,N007,162,commute
OD0121,N088,N009,295,mixed
OD0122,N007,N041,434,mixed
OD0123,N094,N075,252,commute
OD0124,N053,N106,47,school
OD0125,N084,N069,456,mixed
OD0126,N106,N065,469,school
OD0127,N096,N009,460,mixed
OD0128,N011,N058,129,school
OD0129,N002,N028,496,commercial
OD0130,N036,N037,250,school
OD0131,N112,N075,359,commute
OD0132,N050,N081,365,commercial
OD0133,N112,N065,444,mixed
OD0134,N094,N109,383,school
OD0135,N056,N071,491,commercial
OD0136,N037,N102,174,school
OD0137,N008,N046,364,commute
OD0138,N110,N015,248,school
OD0139,N002,N053,273,school
OD0140,N066,N064,379,commercial
OD0141,N034,N003,85,commercial
OD0142,N037,N074,329,commercial
OD0143,N095,N063,281,commute
OD0144,N030,N008,349,commercial
OD0145,N072,N014,479,mixed
OD0146,N036,N039,130,mixed
OD0147,N103,N100,318,school
OD0148,N108,N075,327,commercial
OD0149,N059,N002,65,mixed
OD0150,N073,N120,178,school
OD0151,N110,N063,290,commercial
OD0152,N055,N073,138,commute
OD0153,N006,N100,89,commercial
OD0154,N020,N037,396,school
OD0155,N068,N044,90,mixed
OD0156,N113,N040,88,school
OD0157,N110,N066,325,commute
OD0158,N085,N075,264,mixed
OD0159,N046,N119,211,commute
OD0160,N046,N063,304,mixed
OD0161,N042,N050,123,mixed
OD0162,N023,N066,248,commute
OD0163,N045,N076,428,mixed
OD0164,N058,N090,404,commercial
OD0165,N026,N105,450,school
OD0166,N116,N097,406,mixed
OD0167,N059,N057,40,commute
OD0168,N103,N015,82,commercial
OD0169,N118,N071,406,commercial
OD0170,N106,N034,332,school
OD0171,N109,N026,345,commercial
OD0172,N049,N061,67,mixed
OD0173,N029,N076,261,commercial
OD0174,N067,N089,43,school
OD0175,N017,N087,454,school
OD0176,N069,N068,231,mixed
OD0177,N053,N020,484,school
OD0178,N118,N030,190,commercial
OD0179,N053,N093,159,commercial
OD0180,N005,N100,397,commercial
OD0181,N095,N102,437,school
OD0182,N004,N113,419,mixed
OD0183,N117,N112,71,school
OD0184,N036,N094,422,mixed
OD0185,N106,N092,295,commercial
OD0186,N120,N012,293,school
OD0187,N115,N026,47,commercial
OD0188,N029,N078,249,commercial
OD0189,N118,N076,161,commute
OD0190,N119,N108,41,commute
OD0191,N053,N028,168,commute
OD0192,N043,N059,199,commute
OD0193,N071,N102,85,mixed
OD0194,N106,N072,301,commercial
OD0195,N053,N014,299,school
OD0196,N117,N050,480,commercial
OD0197,N089,N074,323,school
OD0198,N093,N010,213,mixed
OD0199,N051,N110,81,mixed
OD0200,N024,N091,304,commute
OD0201,N046,N104,93,mixed
OD0202,N091,N105,211,school
OD0203,N028,N036,198,mixed
OD0204,N011,N054,171,school
OD0205,N071,N030,282,commercial
OD0206,N088,N067,468,commute
OD0207,N036,N003,176,commercial
OD0208,N040,N046,213,school
OD0209,N108,N022,195,commercial
OD0210,N040,N098,155,commute
OD0211,N032,N040,459,commercial
OD0212,N092,N075,381,commute
OD0213,N038,N032,66,mixed
OD0214,N038,N005,96,commercial
OD0215,N085,N073,279,mixed
OD0216,N046,N105,72,mixed
OD0217,N009,N002,259,commute
OD0218,N014,N012,101,commercial
OD0219,N019,N113,176,commercial
OD0220,N070,N028,464,commercial
OD0221,N113,N064,417,mixed
OD0222,N045,N066,419,school
OD0223,N112,N073,409,school
OD0224,N074,N053,416,commute
OD0225,N108,N033,490,mixed
OD0226,N108,N117,163,commercial
OD0227,N117,N046,80,commercial
OD0228,N120,N090,263,mixed
OD0229,N076,N052,420,school
OD0230,N077,N047,429,commute
OD0231,N094,N018,394,commute
OD0232,N020,N074,77,commercial
OD0233,N037,N117,57,commute
OD0234,N074,N080,177,school
OD0235,N007,N028,459,mixed
OD0236,N119,N090,254,school
OD0237,N112,N044,117,commute
OD0238,N109,N097,110,school
OD0239,N014,N098,338,school
OD0240,N030,N049,421,commercial
OD0241,N111,N055,415,commute
OD0242,N047,N099,344,school
OD0243,N034,N036,444,commercial
OD0244,N040,N117,105,mixed
OD0245,N029,N118,264,commercial
OD0246,N038,N093,412,commercial
OD0247,N050,N097,81,commercial
OD0248,N008,N078,272,mixed
OD0249,N107,N097,409,school
OD0250,N076,N069,129,commercial
OD0251,N074,N008,235,commercial
OD0252,N106,N025,213,commercial
OD0253,N103,N098,419,school
OD0254,N031,N092,317,commute
OD0255,N115,N035,97,mixed
OD0256,N026,N108,441,school
OD0257,N037,N091,339,commute
OD0258,N021,N042,460,commute
OD0259,N085,N120,490,mixed
OD0260,N008,N079,200,mixed
OD0261,N105,N033,184,commute
OD0262,N061,N064,44,commute
OD0263,N093,N009,132,school
OD0264,N060,N076,459,mixed
OD0265,N070,N052,387,school
OD0266,N067,N120,43,mixed
OD0267,N071,N030,374,commute
OD0268,N016,N097,251,mixed
OD0269,N100,N113,499,commercial
OD0270,N089,N022,374,commercial
OD0271,N115,N097,445,commute
OD0272,N117,N111,283,mixed
OD0273,N113,N022,457,commercial
OD0274,N042,N061,446,mixed
OD0275,N113,N016,448,mixed
OD0276,N064,N045,159,commute
OD0277,N077,N092,242,mixed
OD0278,N038,N119,336,commercial
OD0279,N065,N095,344,school
OD0280,N066,N073,105,school
OD0281,N093,N016,499,commercial
OD0282,N030,N108,230,commute
OD0283,N060,N001,199,commute
OD0284,N001,N021,60,school
OD0285,N086,N112,256,mixed
OD0286,N033,N072,348,commute
OD0287,N077,N103,403,commute
OD0288,N117,N100,418,commercial
OD0289,N001,N079,120,school
OD0290,N090,N027,453,commute
OD0291,N034,N103,472,commercial
OD0292,N075,N117,160,school
OD0293,N037,N042,233,commute
OD0294,N078,N019,315,school
OD0295,N048,N107,167,commute
OD0296,N052,N082,348,mixed
OD0297,N079,N087,378,commercial
OD0298,N001,N117,88,mixed
OD0299,N070,N104,186,commute
OD0300,N004,N074,46,commercial
OD0301,N097,N040,177,mixed
OD0302,N107,N095,231,mixed
OD0303,N043,N102,97,commercial
OD0304,N101,N011,144,mixed
OD0305,N092,N031,74,school
OD0306,N087,N030,262,mixed
OD0307,N109,N106,126,commute
OD0308,N001,N105,90,commercial
OD0309,N085,N014,398,commute
OD0310,N018,N047,48,mixed
OD0311,N087,N011,76,commercial
OD0312,N093,N058,229,commute
OD0313,N103,N021,170,mixed
OD0314,N066,N036,49,commercial
OD0315,N008,N090,225,mixed
OD0316,N013,N043,236,commute
OD0317,N104,N092,78,school
OD0318,N060,N052,286,commute
OD0319,N080,N004,125,commercial
OD0320,N057,N045,256,mixed
OD0321,N003,N055,342,commercial
OD0322,N053,N100,332,school
OD0323,N078,N092,440,mixed
OD0324,N040,N016,113,school
OD0325,N033,N105,160,commute
OD0326,N049,N060,313,school
OD0327,N015,N093,72,mixed
OD0328,N011,N113,236,commute
OD0329,N052,N069,379,commute
OD0330,N004,N105,342,school
OD0331,N101,N024,372,commercial
OD0332,N077,N011,292,commute
OD0333,N078,N109,172,commute
OD0334,N035,N052,304,commercial
OD0335,N117,N033,225,school
OD0336,N102,N030,353,school
OD0337,N072,N081,186,commercial
OD0338,N039,N097,114,commute
OD0339,N019,N069,226,commute
OD0340,N012,N010,306,mixed
OD0341,N096,N074,406,commute
OD0342,N071,N027,169,commercial
OD0343,N094,N045,273,school
OD0344,N091,N090,436,commercial
OD0345,N113,N094,220,commercial
OD0346,N040,N071,274,school
OD0347,N007,N046,422,commercial
OD0348,N012,N116,176,mixed
OD0349,N095,N029,129,commute
OD0350,N035,N079,102,commute
OD0351,N049,N108,244,commute
OD0352,N078,N069,144,mixed
OD0353,N102,N012,434,commercial
OD0354,N019,N100,153,commercial
OD0355,N083,N092,297,mixed
OD0356,N021,N082,198,commercial
OD0357,N030,N060,442,school
OD0358,N067,N012,56,commute
OD0359,N093,N046,418,commercial
OD0360,N034,N088,350,commute
OD0361,N065,N058,79,commercial
OD0362,N019,N011,158,school
OD0363,N018,N026,416,school
OD0364,N053,N049,395,school
OD0365,N049,N027,171,commute
OD0366,N071,N017,458,school
OD0367,N076,N007,104,commute
OD0368,N100,N063,62,mixed
OD0369,N053,N108,443,commercial
OD0370,N040,N043,485,commute
OD0371,N106,N064,273,commute
OD0372,N103,N021,312,commute
OD0373,N080,N039,323,commute
OD0374,N100,N025,50,commercial
OD0375,N073,N040,101,commute
OD0376,N079,N092,407,commute
OD0377,N031,N043,224,school
OD0378,N080,N002,369,mixed
OD0379,N010,N108,181,mixed
OD0380,N056,N021,470,commute
OD0381,N064,N004,400,school
OD0382,N002,N023,164,school
OD0383,N083,N018,411,commute
OD0384,N108,N077,469,commute
OD0385,N056,N108,233,commute
OD0386,N047,N115,87,mixed
OD0387,N058,N052,239,commute
OD0388,N090,N030,353,commercial
OD0389,N050,N103,101,commercial
OD0390,N020,N016,313,commute
OD0391,N051,N043,56,commute
OD0392,N031,N033,285,commercial
OD0393,N083,N048,118,mixed
OD0394,N033,N050,320,commercial
OD0395,N085,N082,418,commute
OD0396,N069,N086,418,mixed
OD0397,N102,N077,175,commute
OD0398,N099,N096,220,commercial
OD0399,N029,N036,261,school
OD0400,N106,N048,346,commute
OD0401,N120,N095,173,school
OD0402,N036,N057,69,commercial
OD0403,N076,N073,56,school
OD0404,N106,N013,421,commute
OD0405,N101,N079,376,school
OD0406,N115,N016,75,school
OD0407,N022,N004,55,mixed
OD0408,N047,N039,382,commercial
OD0409,N076,N072,160,commute
OD0410,N074,N078,231,mixed
OD0411,N017,N067,217,mixed
OD0412,N025,N044,90,commercial
OD0413,N120,N095,383,school
OD0414,N011,N120,417,commute
OD0415,N070,N066,74,commute
OD0416,N059,N032,321,mixed
OD0417,N069,N077,291,commute
OD0418,N091,N103,268,mixed
OD0419,N113,N115,181,school
OD0420,N119,N041,254,commute
OD0421,N102,N061,41,mixed
OD0422,N069,N035,411,school
OD0423,N080,N084,488,commercial
OD0424,N092,N010,236,commercial
OD0425,N101,N072,456,commercial
OD0426,N008,N060,193,mixed
OD0427,N048,N108,51,commercial
OD0428,N062,N051,42,mixed
OD0429,N076,N108,335,commercial
OD0430,N109,N112,115,school
OD0431,N068,N060,459,commute
OD0432,N117,N050,498,commercial
OD0433,N109,N108,296,commercial
OD0434,N103,N026,461,commute
OD0435,N034,N026,92,commercial
OD0436,N009,N007,406,commute
OD0437,N003,N097,315,commercial
OD0438,N065,N053,267,mixed
OD0439,N049,N104,229,commute
OD0440,N060,N087,272,school
OD0441,N059,N049,139,mixed
OD0442,N094,N013,469,commercial
OD0443,N070,N071,44,school
OD0444,N109,N093,374,commercial
OD0445,N044,N098,110,mixed
OD0446,N030,N098,257,mixed
OD0447,N005,N008,464,school
OD0448,N029,N110,270,mixed
OD0449,N084,N065,271,mixed
OD0450,N013,N042,205,school
OD0451,N109,N055,337,commercial
OD0452,N050,N021,419,mixed
OD0453,N039,N100,202,mixed
OD0454,N011,N119,339,mixed
OD0455,N054,N023,253,mixed
OD0456,N104,N056,287,commercial
OD0457,N093,N083,408,school
OD0458,N064,N050,488,commute
OD0459,N053,N079,330,mixed
OD0460,N029,N005,487,commercial
OD0461,N071,N022,179,commute
OD0462,N021,N037,243,commercial
OD0463,N112,N056,189,mixed
OD0464,N078,N036,442,mixed
OD0465,N019,N007,454,mixed
OD0466,N066,N040,326,mixed
OD0467,N030,N013,131,school
OD0468,N047,N016,110,mixed
OD0469,N050,N059,452,commute
OD0470,N006,N120,308,commute
OD0471,N071,N084,231,mixed
OD0472,N078,N025,208,school
OD0473,N055,N001,368,commercial
OD0474,N096,N018,407,commercial
OD0475,N057,N062,373,commute
OD0476,N090,N012,443,school
OD0477,N007,N017,148,school
OD0478,N063,N032,51,mixed
OD0479,N019,N091,370,commercial
OD0480,N030,N082,400,school
OD0481,N100,N026,265,mixed
OD0482,N075,N051,290,commute
OD0483,N084,N065,309,school
OD0484,N086,N026,41,mixed
OD0485,N036,N071,74,mixed
OD0486,N019,N077,270,school
OD0487,N083,N064,234,school
OD0488,N076,N078,217,mixed
OD0489,N023,N050,253,school
OD0490,N001,N053,238,mixed
OD0491,N080,N005,440,school
OD0492,N036,N087,186,commercial
OD0493,N024,N083,112,commercial
OD0494,N103,N049,266,mixed
OD0495,N058,N104,280,commercial
OD0496,N009,N006,136,mixed
OD0497,N069,N013,240,commute
OD0498,N070,N058,419,mixed
OD0499,N042,N007,497,commute
OD0500,N016,N056,66,commercial
OD0501,N101,N093,189,commute
OD0502,N100,N094,216,commute
OD0503,N011,N095,222,mixed
OD0504,N048,N007,199,mixed
OD0505,N057,N045,187,school
OD0506,N109,N092,318,school
OD0507,N114,N082,80,commercial
OD0508,N064,N092,201,commute
OD0509,N030,N105,57,commercial
OD0510,N049,N043,251,mixed
OD0511,N115,N010,337,mixed
OD0512,N067,N037,159,mixed
OD0513,N080,N046,134,school
OD0514,N046,N002,423,commute
OD0515,N057,N080,386,commute
OD0516,N101,N099,69,school
OD0517,N072,N098,169,mixed
OD0518,N091,N112,311,school
OD0519,N108,N046,220,commute
OD0520,N046,N051,206,mixed
OD0521,N109,N108,133,mixed
OD0522,N008,N010,434,commercial
OD0523,N022,N078,459,school
OD0524,N061,N090,200,school
OD0525,N067,N047,279,commercial
OD0526,N072,N094,274,school
OD0527,N036,N106,436,school
OD0528,N056,N093,244,commercial
OD0529,N039,N108,273,mixed
OD0530,N066,N094,338,commute
OD0531,N057,N033,415,commercial
OD0532,N083,N011,380,school
OD0533,N037,N018,406,school
OD0534,N076,N089,112,commercial
OD0535,N058,N078,421,school
OD0536,N103,N063,267,commercial
OD0537,N037,N096,130,commute
OD0538,N093,N040,147,commute
OD0539,N012,N056,323,mixed
OD0540,N079,N078,219,mixed
OD0541,N002,N006,232,mixed
OD0542,N048,N033,353,mixed
OD0543,N033,N062,59,commercial
OD0544,N080,N100,190,mixed
OD0545,N046,N012,210,mixed
OD0546,N108,N074,282,mixed
OD0547,N006,N060,66,commute
OD0548,N010,N008,460,school
OD0549,N102,N090,371,commercial
OD0550,N034,N063,330,commute
OD0551,N028,N104,186,commercial
OD0552,N116,N022,392,school
OD0553,N029,N120,282,commercial
OD0554,N045,N065,257,mixed
OD0555,N098,N096,459,commercial
OD0556,N058,N118,369,commercial
OD0557,N064,N063,280,commute
OD0558,N067,N027,290,school
OD0559,N103,N119,406,commercial
OD0560,N020,N079,147,commercial
OD0561,N067,N006,359,school
OD0562,N055,N065,252,commercial
OD0563,N015,N044,56,school
OD0564,N041,N038,88,school
OD0565,N064,N032,145,mixed
OD0566,N006,N042,131,commercial
OD0567,N062,N001,265,school
OD0568,N070,N002,44,commute
OD0569,N067,N016,415,commercial
OD0570,N094,N043,84,commute
OD0571,N024,N079,494,commute
OD0572,N074,N079,366,school
OD0573,N088,N073,56,school
OD0574,N033,N034,195,school
OD0575,N109,N089,493,commute
OD0576,N070,N020,113,mixed
OD0577,N099,N113,351,mixed
OD0578,N037,N116,270,mixed
OD0579,N080,N084,203,mixed
OD0580,N116,N041,66,commercial
OD0581,N069,N052,93,commute
OD0582,N087,N035,374,mixed
OD0583,N086,N111,397,commercial
OD0584,N066,N018,412,school
OD0585,N077,N052,265,commercial
OD0586,N072,N081,405,school
OD0587,N039,N079,149,commercial
OD0588,N090,N057,62,mixed
OD0589,N070,N102,259,mixed
OD0590,N120,N092,165,commercial
OD0591,N115,N117,228,commute
OD0592,N028,N029,485,mixed
OD0593,N027,N045,233,commercial
OD0594,N022,N066,309,commute
OD0595,N069,N024,215,school
OD0596,N118,N092,230,school
OD0597,N063,N087,160,commute
OD0598,N109,N110,276,commute
OD0599,N013,N091,388,commute
OD0600,N094,N081,323,school
OD0601,N069,N109,280,school
OD0602,N098,N118,333,school
OD0603,N051,N113,259,school
OD0604,N045,N017,109,commute
OD0605,N089,N112,371,school
OD0606,N004,N052,147,mixed
OD0607,N105,N061,475,mixed
OD0608,N052,N114,199,mixed
OD0609,N101,N097,88,mixed
OD0610,N098,N112,332,commute
OD0611,N081,N029,423,commercial
OD0612,N043,N100,346,commercial
OD0613,N015,N116,85,commercial
OD0614,N116,N046,322,commercial
OD0615,N105,N038,233,commercial
OD0616,N033,N084,199,school
OD0617,N110,N021,460,commercial
OD0618,N007,N027,270,mixed
OD0619,N115,N098,481,mixed
OD0620,N103,N020,72,commercial
OD0621,N052,N038,432,school
OD0622,N059,N073,327,commercial
OD0623,N076,N009,96,commercial
OD0624,N068,N082,215,commute
OD0625,N041,N021,106,commute
OD0626,N049,N106,95,commute
OD0627,N081,N003,69,commercial
OD0628,N074,N106,173,commute
OD0629,N110,N100,423,commute
OD0630,N062,N077,360,commercial
OD0631,N011,N075,350,commute
OD0632,N109,N064,450,mixed
OD0633,N024,N093,235,commercial
OD0634,N034,N088,378,school
OD0635,N031,N047,192,commercial
OD0636,N025,N053,46,mixed
OD0637,N039,N087,389,mixed
OD0638,N065,N105,77,school
OD0639,N057,N015,324,mixed
OD0640,N075,N017,437,commute
OD0641,N041,N091,65,commercial
OD0642,N041,N028,428,mixed
OD0643,N036,N064,306,school
OD0644,N039,N004,301,commute
OD0645,N006,N025,389,commercial
OD0646,N116,N114,452,school
OD0647,N092,N002,178,commute
OD0648,N051,N063,176,commercial
OD0649,N084,N092,41,school
OD0650,N005,N043,146,mixed
OD0651,N006,N048,430,commercial
OD0652,N075,N091,391,commute
OD0653,N016,N062,423,school
OD0654,N030,N087,280,commute
OD0655,N112,N111,282,commute
OD0656,N058,N064,364,mixed
OD0657,N068,N090,332,mixed
OD0658,N036,N060,119,commute
OD0659,N109,N077,468,school
OD0660,N005,N116,69,commercial
OD0661,N032,N011,316,school
OD0662,N054,N011,105,commercial
OD0663,N043,N106,250,commercial
OD0664,N079,N035,305,school
OD0665,N017,N117,134,commercial
OD0666,N077,N075,399,commute
OD0667,N080,N068,116,commute
OD0668,N108,N001,478,commercial
OD0669,N076,N120,56,school
OD0670,N010,N107,360,commercial
OD0671,N048,N001,115,commercial
OD0672,N076,N087,43,commute
OD0673,N021,N008,49,commute
OD0674,N106,N107,289,commercial
OD0675,N007,N089,281,school
OD0676,N014,N037,171,commercial
OD0677,N043,N102,314,commercial
OD0678,N030,N012,89,mixed
OD0679,N005,N050,116,school
OD0680,N050,N012,75,commercial
OD0681,N063,N061,357,commercial
OD0682,N041,N120,462,school
OD0683,N003,N110,412,school
OD0684,N098,N006,176,commute
OD0685,N038,N073,292,commute
OD0686,N093,N044,368,school
OD0687,N112,N036,144,mixed
OD0688,N054,N026,461,mixed
OD0689,N021,N025,288,commercial
OD0690,N046,N015,265,school
OD0691,N087,N004,74,school
OD0692,N011,N013,220,commercial
OD0693,N073,N057,171,school
OD0694,N038,N108,271,school
OD0695,N092,N113,272,mixed
OD0696,N028,N112,89,commercial
OD0697,N052,N084,76,commercial
OD0698,N075,N026,284,commercial
OD0699,N016,N038,293,mixed
OD0700,N093,N041,381,school
OD0701,N068,N055,331,commercial
OD0702,N036,N079,173,mixed
OD0703,N079,N014,388,mixed
OD0704,N052,N090,124,mixed
OD0705,N099,N022,392,school
OD0706,N090,N078,165,school
OD0707,N066,N057,457,commute
OD0708,N082,N119,290,commercial
OD0709,N026,N060,255,commute
OD0710,N061,N029,286,commercial
OD0711,N093,N080,197,school
OD0712,N017,N037,54,commercial
OD0713,N024,N002,160,commute
OD0714,N056,N009,415,commute
OD0715,N024,N078,135,school
OD0716,N039,N116,73,mixed
OD0717,N077,N043,170,commercial
OD0718,N077,N015,329,commute
OD0719,N113,N053,425,commute
OD0720,N095,N084,132,school
OD0721,N085,N113,209,commercial
OD0722,N054,N086,64,mixed
OD0723,N078,N046,399,commercial
OD0724,N022,N094,376,school
OD0725,N015,N113,76,school
OD0726,N040,N062,143,commercial
OD0727,N045,N064,44,commercial
OD0728,N104,N004,106,mixed
OD0729,N011,N091,407,mixed
OD0730,N103,N058,424,mixed
OD0731,N101,N038,301,commute
OD0732,N077,N031,171,commercial
OD0733,N018,N102,286,school
OD0734,N116,N093,99,school
OD0735,N111,N052,361,commercial
OD0736,N081,N028,140,commercial
OD0737,N092,N100,446,commute
OD0738,N120,N015,333,commercial
OD0739,N002,N114,146,school
OD0740,N105,N036,206,commute
OD0741,N008,N037,319,school
OD0742,N099,N051,436,mixed
OD0743,N097,N045,284,commercial
OD0744,N115,N079,103,mixed
OD0745,N031,N019,171,school
OD0746,N086,N076,82,mixed
OD0747,N003,N093,294,mixed
OD0748,N111,N090,379,commute
OD0749,N002,N097,163,mixed
OD0750,N062,N086,400,mixed
OD0751,N120,N099,93,commute
OD0752,N004,N049,213,commercial
OD0753,N077,N100,283,school
OD0754,N071,N080,108,commercial
OD0755,N024,N104,272,mixed
OD0756,N106,N006,282,commute
OD0757,N037,N050,148,commute
OD0758,N037,N036,170,mixed
OD0759,N029,N013,353,commute
OD0760,N002,N109,279,school
OD0761,N064,N066,359,school
OD0762,N016,N116,251,mixed
OD0763,N070,N013,100,commute
OD0764,N008,N042,53,mixed
OD0765,N012,N116,360,commute
OD0766,N033,N089,484,mixed
OD0767,N103,N009,313,commute
OD0768,N111,N031,438,school
OD0769,N051,N035,469,mixed
OD0770,N014,N097,372,mixed
OD0771,N091,N014,136,school
OD0772,N033,N046,138,commute
OD0773,N101,N094,325,commute
OD0774,N119,N015,327,commercial
OD0775,N117,N034,71,school
OD0776,N073,N030,90,school
OD0777,N069,N008,191,commercial
OD0778,N047,N007,125,school
OD0779,N026,N025,269,commercial
OD0780,N030,N010,201,commercial
OD0781,N051,N055,349,commute
OD0782,N071,N100,227,commercial
OD0783,N070,N020,493,school
OD0784,N090,N109,331,commute
OD0785,N036,N026,50,school
OD0786,N046,N104,296,school
OD0787,N047,N077,303,commercial
OD0788,N085,N068,383,commercial
OD0789,N089,N051,477,commute
OD0790,N113,N102,71,commute
OD0791,N096,N029,174,commute
OD0792,N015,N002,384,commercial
OD0793,N059,N067,489,school
OD0794,N054,N063,384,commercial
OD0795,N035,N055,164,commercial
OD0796,N055,N114,228,commercial
OD0797,N067,N014,62,commercial
OD0798,N119,N061,178,school
OD0799,N001,N013,260,commute
OD0800,N022,N088,458,school
OD0801,N018,N105,419,mixed
OD0802,N095,N090,70,school
OD0803,N058,N001,145,commute
OD0804,N043,N072,414,commute
OD0805,N036,N012,195,mixed
OD0806,N052,N055,280,school
OD0807,N075,N049,281,school
OD0808,N039,N037,54,school
OD0809,N093,N044,460,commute
OD0810,N057,N041,485,mixed
OD0811,N018,N087,104,commute
OD0812,N059,N022,435,commute
OD0813,N066,N043,434,mixed
OD0814,N036,N004,282,commute
OD0815,N039,N029,391,commercial
OD0816,N035,N093,180,mixed
OD0817,N013,N029,351,school
OD0818,N066,N049,303,mixed
OD0819,N012,N078,435,school
OD0820,N108,N004,279,commercial
OD0821,N003,N037,268,commercial
OD0822,N100,N014,314,commercial
OD0823,N009,N013,315,mixed
OD0824,N108,N086,81,school
OD0825,N033,N099,390,mixed
OD0826,N118,N029,220,commute
OD0827,N119,N105,80,mixed
OD0828,N032,N101,426,commute
OD0829,N004,N102,295,commercial
OD0830,N055,N114,181,commute
OD0831,N042,N102,373,mixed
OD0832,N050,N043,382,commute
OD0833,N049,N059,321,commute
OD0834,N026,N111,98,commercial
OD0835,N011,N113,343,school
OD0836,N066,N040,484,commercial
OD0837,N075,N118,154,commute
OD0838,N024,N082,158,mixed
OD0839,N026,N095,272,commute
OD0840,N092,N020,140,commercial
OD0841,N012,N081,151,school
OD0842,N020,N118,117,commercial
OD0843,N086,N040,250,commute
OD0844,N049,N087,427,school
OD0845,N014,N030,43,school
OD0846,N081,N052,488,mixed
OD0847,N073,N033,108,mixed
OD0848,N072,N018,62,commercial
OD0849,N062,N025,409,commercial
OD0850,N047,N087,448,mixed
OD0851,N051,N059,426,commute
OD0852,N028,N106,199,school
OD0853,N119,N048,107,commercial
OD0854,N045,N091,210,commercial
OD0855,N012,N101,194,school
OD0856,N120,N091,292,commute
OD0857,N102,N051,438,mixed
