candidate_id,target_segment,intervention_type,feasibility_band,cost_index,base_capacity_vph,upgraded_capacity_vph,capacity_delta_vph,baseline_delay_min,upgraded_delay_min,delay_reduction_pct,daily_veh_hours_saved,roi_score,rank
PLAN0105,R0106,connector,high,18.0,1035.0,1735.0,700.0,0.02,0.0,87.3,1.7,0.93,36
PLAN0272,R0273,signal_retiming,low,2.0,2700.0,2950.0,250.0,0.0,0.0,8.0,0.2,0.89,37
PLAN0002,R0003,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.01,0.0,42.5,0.7,0.84,38
PLAN0377,R0378,lane_addition,medium,8.0,2070.0,2970.0,900.0,0.0,0.0,31.3,0.6,0.81,39
PLAN0387,R0388,signal_retiming,low,2.0,1800.0,2050.0,250.0,0.0,0.0,9.8,0.1,0.75,40
PLAN0383,R0384,signal_retiming,low,2.0,1800.0,2050.0,250.0,0.0,0.0,11.0,0.1,0.72,41
PLAN0181,R0182,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,39.5,0.6,0.7,42
PLAN0034,R0035,connector,high,18.0,3105.0,3805.0,700.0,0.01,0.0,35.2,1.1,0.62,43
PLAN0379,R0380,capacity_upgrade,medium,12.0,2070.0,2570.0,500.0,0.01,0.0,33.0,0.7,0.58,44
PLAN0337,R0338,turn_lane,low,5.0,1800.0,2250.0,450.0,0.0,0.0,20.2,0.3,0.58,45
PLAN0433,R0434,turn_lane,low,5.0,2700.0,3150.0,450.0,0.0,0.0,13.0,0.3,0.53,46
PLAN0242,R0243,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,26.0,0.4,0.48,47
PLAN0013,R0014,turn_lane,low,5.0,1800.0,2250.0,450.0,0.0,0.0,16.2,0.2,0.47,48
PLAN0244,R0245,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,26.3,0.4,0.47,49
PLAN0361,R0362,lane_addition,medium,8.0,2700.0,3600.0,900.0,0.0,0.0,18.3,0.4,0.45,50
PLAN0155,R0156,lane_addition,medium,8.0,900.0,1800.0,900.0,0.01,0.0,49.5,0.4,0.45,51
PLAN0362,R0363,lane_addition,medium,8.0,900.0,1800.0,900.0,0.01,0.0,51.5,0.3,0.43,52
PLAN0411,R0412,turn_lane,low,5.0,900.0,1350.0,450.0,0.0,0.0,26.3,0.2,0.38,53
PLAN0139,R0140,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,23.4,0.3,0.37,54
PLAN0338,R0339,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,20.0,0.3,0.36,55
PLAN0254,R0255,signal_retiming,low,2.0,2700.0,2950.0,250.0,0.0,0.0,3.8,0.1,0.33,56
PLAN0349,R0350,signal_retiming,low,2.0,1800.0,2050.0,250.0,0.0,0.0,4.7,0.1,0.3,57
PLAN0015,R0016,capacity_upgrade,medium,12.0,1800.0,2300.0,500.0,0.0,0.0,23.4,0.3,0.29,58
PLAN0233,R0234,signal_retiming,low,2.0,1800.0,2050.0,250.0,0.0,0.0,5.0,0.1,0.28,59
PLAN0089,R0090,signal_retiming,low,2.0,900.0,1150.0,250.0,0.0,0.0,9.7,0.1,0.28,60
PLAN0138,R0139,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,18.0,0.2,0.27,61
PLAN0071,R0072,signal_retiming,low,2.0,1800.0,2050.0,250.0,0.0,0.0,4.7,0.1,0.27,62
PLAN0060,R0061,connector,high,18.0,1800.0,2500.0,700.0,0.0,0.0,33.4,0.4,0.24,63
PLAN0088,R0089,turn_lane,low,5.0,1800.0,2250.0,450.0,0.0,0.0,9.7,0.1,0.23,64
PLAN0197,R0198,capacity_upgrade,medium,12.0,1800.0,2300.0,500.0,0.0,0.0,21.1,0.3,0.23,65
PLAN0072,R0073,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,14.2,0.2,0.22,66
PLAN0228,R0229,capacity_upgrade,medium,12.0,1800.0,2300.0,500.0,0.0,0.0,18.4,0.3,0.21,67
PLAN0246,R0247,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,14.7,0.2,0.2,68
PLAN0031,R0032,connector,high,18.0,2700.0,3400.0,700.0,0.0,0.0,18.3,0.4,0.19,69
PLAN0039,R0040,turn_lane,low,5.0,2700.0,3150.0,450.0,0.0,0.0,5.5,0.1,0.19,70
PLAN0365,R0366,turn_lane,low,5.0,1800.0,2250.0,450.0,0.0,0.0,8.1,0.1,0.19,71
PLAN0004,R0005,lane_addition,medium,8.0,2700.0,3600.0,900.0,0.0,0.0,8.0,0.1,0.18,72
PLAN0211,R0212,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,12.5,0.1,0.18,73
PLAN0042,R0043,lane_addition,medium,8.0,1800.0,2700.0,900.0,0.0,0.0,12.0,0.1,0.18,74
PLAN0220,R0221,capacity_upgrade,medium,12.0,900.0,1400.0,500.0,0.0,0.0,30.7,0.2,0.17,75
PLAN0428,R0429,connector,high,18.0,1800.0,2500.0,700.0,0.0,0.0,18.4,0.3,0.15,76
PLAN0166,R0167,turn_lane,low,5.0,900.0,1350.0,450.0,0.0,0.0,12.8,0.1,0.15,77
PLAN0036,R0037,lane_addition,medium,8.0,900.0,1800.0,900.0,0.0,0.0,16.9,0.1,0.14,78
PLAN0018,R0019,connector,high,18.0,1800.0,2500.0,700.0,0.0,0.0,19.5,0.3,0.14,79
PLAN0174,R0175,connector,high,18.0,2700.0,3400.0,700.0,0.0,0.0,11.8,0.2,0.13,80
PLAN0267,R0268,capacity_upgrade,medium,12.0,1800.0,2300.0,500.0,0.0,0.0,10.8,0.1,0.12,81
PLAN0090,R0091,connector,high,18.0,900.0,1600.0,700.0,0.0,0.0,33.2,0.2,0.12,82
PLAN0339,R0340,lane_addition,medium,8.0,900.0,1800.0,900.0,0.0,0.0,14.5,0.1,0.1,83
PLAN0047,R0048,connector,high,18.0,1800.0,2500.0,700.0,0.0,0.0,10.9,0.1,0.08,84
PLAN0175,R0176,capacity_upgrade,medium,12.0,2700.0,3200.0,500.0,0.0,0.0,5.2,0.1,0.07,85
PLAN0351,R0352,capacity_upgrade,medium,12.0,900.0,1400.0,500.0,0.0,0.0,12.4,0.1,0.06,86
PLAN0396,R0397,connector,high,18.0,2700.0,3400.0,700.0,0.0,0.0,6.2,0.1,0.06,87
PLAN0415,R0416,connector,high,18.0,1800.0,2500.0,700.0,0.0,0.0,6.4,0.1,0.04,88
PLAN0232,R0233,connector,high,18.0,2700.0,3400.0,700.0,0.0,0.0,5.2,0.1,0.04,89
PLAN0017,R0018,capacity_upgrade,medium,12.0,900.0,1400.0,500.0,0.0,0.0,8.2,0.0,0.04,90
